id,text,startTime,endTime,Character,Location,Time,Plot arc
2,朝目が覚めると・・・,"00:01:07,260","00:01:09,840",みつは,東京,"Present, spring",
3,なぜか泣いている。,"00:01:09,840","00:01:11,840",みつは,東京,"Present, spring",
4,そういうことが、時々ある。,"00:01:11,840","00:01:15,290",みつは,東京,"Present, spring",
5,見ていたはずの夢は、,"00:01:15,290","00:01:17,820",たき,東京,"Present, spring",
6,いつも思い出せない。,"00:01:17,820","00:01:19,820",たき,東京,"Present, spring",
7,ただ・・・,"00:01:19,820","00:01:22,800",みつは＆たき,東京,"Present, spring",Tears
8,なにかが消えてしまったという感覚だけが、,"00:01:22,800","00:01:26,090",みつは,東京,"Present, spring",Tears
9,目覚めてからも長く残る。,"00:01:26,090","00:01:29,080",みつは,東京,"Present, spring",
10,ずっと何かを・・・,"00:01:37,310","00:01:39,300",たき,東京,"Present, spring",
11,誰かを・・・探している。,"00:01:39,300","00:01:42,410",たき,東京,"Present, spring",
12,そういう気持ちに取り憑かれたのは、,"00:01:42,410","00:01:45,540",みつは,東京,"Present, spring",
13,たぶんあの日から。,"00:01:45,540","00:01:47,540",みつは,東京,"Present, spring",
14,あの日・・・星が降った日。,"00:01:48,510","00:01:52,270",たき,東京,"Past 2, 10/4",Comet
15,それはまるで、,"00:01:52,270","00:01:53,930",たき,東京,"Past 2, 10/4",Comet
16,まるで、夢の景色のように、,"00:01:54,010","00:01:57,210",みつは,田舎,"Past 2, 10/4",Comet
17,ただひたすらに・・・,"00:01:57,210","00:01:59,210",みつは,田舎,"Past 2, 10/4",Comet
18,美しい眺めだった。,"00:01:59,210","00:02:02,840",みつは＆たき,田舎,"Past 2, 10/4",Comet
19,ああこのまま僕たちの声が,"00:02:02,840","00:02:07,410",opening song,,Opening song,
20,世界の端っこまで消えることなく,"00:02:07,410","00:02:13,410",opening song,,Opening song,
21,届いたりしたらいいのにな,"00:02:13,410","00:02:17,970",opening song,,Opening song,
22,そしたらねぇ二人で,"00:02:18,520","00:02:22,010",opening song,,Opening song,
23,どんな言葉を放とう,"00:02:22,010","00:02:24,690",opening song,,Opening song,
24,消えることない約束,"00:02:24,690","00:02:27,770",opening song,,Opening song,
25,を二人で「せーの」で言おう,"00:02:27,770","00:02:32,090",opening song,,Opening song,
26,あぁ,"00:02:35,810","00:02:41,810",opening song,,Opening song,
27,願ったらなにがしかが叶う,"00:02:41,810","00:02:44,860",opening song,,Opening song,
28,その言葉の眼をもう見れなくなったのは,"00:02:44,860","00:02:48,820",opening song,,Opening song,
29,一体いつからだろうかなにゆえだろうか,"00:02:48,820","00:02:52,720",opening song,,Opening song,
30,あぁ雨の止むまさにその切れ間と,"00:02:52,720","00:02:55,710",opening song,,Opening song,
31,虹の出発点終点と,"00:02:55,730","00:02:58,450",opening song,,Opening song,
32,この命果てる場所に何かがあるって,"00:02:58,450","00:03:01,940",opening song,,Opening song,
33,いつも言い張っていた,"00:03:01,940","00:03:04,360",opening song,,Opening song,
34,いつか行こう全生命も未到未開拓,"00:03:08,890","00:03:13,220",opening song,,Opening song,
35,の感情にハイタッチして時間にキスを,"00:03:13,980","00:03:18,640",opening song,,Opening song,
36,５次元にからかわれて,"00:03:18,640","00:03:21,180",opening song,,Opening song,
37,それでも君をみるよ,"00:03:21,180","00:03:23,970",opening song,,Opening song,
38,またはじめましての合図を決めよう,"00:03:23,970","00:03:28,480",opening song,,Opening song,
39,君の名を今追いかけるよ,"00:03:30,060","00:03:33,470",opening song,,Opening song,
40,瀧くん,"00:03:59,870","00:04:01,230",みつは,田舎,"Past 2, 9/2",Scene change
41,瀧くん,"00:04:01,940","00:04:03,890",みつは,田舎,"Past 2, 9/2",
42,覚えて・・・ない？,"00:04:04,690","00:04:07,290",みつは,東京,"Past 2, 9/2",Door
43,名前は・・・,"00:04:09,050","00:04:11,210",みつは,東京,"Past 2, 10/3",Memory
44,三葉！,"00:04:11,930","00:04:14,210",みつは,東京,"Past 2, 10/3",Memory // String
45,お姉ちゃん、何しとるの？,"00:04:49,130","00:04:52,060",よつは,田舎,"Past 2, 9/2",
46,すげー本物っぽいなって,"00:04:52,830","00:04:55,800",たき,田舎,"Past 2, 9/2",Breasts
47,え？・・・お姉ちゃん？,"00:04:56,040","00:04:58,220",よつは,田舎,"Past 2, 9/2",
48,"なに寝ぼけとんの？
　ご・は・ん！","00:04:58,220","00:05:01,370",よつは,田舎,"Past 2, 9/2",
49,早起きな。,"00:05:01,370","00:05:04,190",よつは,田舎,"Past 2, 9/2",
50,え？ええ？,"00:05:22,640","00:05:25,160",たき,田舎,"Past 2, 9/2",
51,ええええっ？,"00:05:25,560","00:05:28,620",たき,田舎,"Past 2, 9/2",
52,お婆ちゃん昨日のお魚出す？,"00:05:34,000","00:05:36,620",よつは,田舎,"Past 2, 9/3",Scene change
53,アンタが食べや。,"00:05:36,620","00:05:38,450",おばあちゃん,田舎,"Past 2, 9/3",
54,"おはよう・・・
おはよう・・・","00:05:38,450","00:05:40,400",たき,田舎,"Past 2, 9/3",
55,お姉ちゃん、遅い！,"00:05:40,400","00:05:42,450",よつは,田舎,"Past 2, 9/3",
56,明日はわたしが作るでね。,"00:05:42,450","00:05:44,460",みつは,田舎,"Past 2, 9/3",
57,食べ過ぎか・・・,"00:05:49,370","00:05:51,440",みつは,田舎,"Past 2, 9/3",
58,ま、いっか。,"00:05:51,440","00:05:52,700",みつは,田舎,"Past 2, 9/3",
59,今日は普通やな。,"00:05:52,700","00:05:54,490",よつは,田舎,"Past 2, 9/3",
60,え？,"00:05:54,520","00:05:55,280",みつは,田舎,"Past 2, 9/3",
61,昨日はヤバかったもんな。,"00:05:55,280","00:05:57,280",よつは,田舎,"Past 2, 9/3",
62,ええ？ちょっと何？,"00:05:57,280","00:06:00,350",みつは,田舎,"Past 2, 9/3",
63,おはようございます。,"00:06:02,100","00:06:04,980",放送,田舎,"Past 2, 9/3",
64,町役場から朝のお知らせです。,"00:06:04,980","00:06:09,960",放送,田舎,"Past 2, 9/3",
65,来月二十日に行われる・・・,"00:06:09,960","00:06:13,090",放送,田舎,"Past 2, 9/3",
66,糸守町町長選挙について・・・,"00:06:13,090","00:06:16,320",放送,田舎,"Past 2, 9/3",
67,町の選挙・・・,"00:06:16,320","00:06:18,750",放送,田舎,"Past 2, 9/3",
68,1200年に一度という彗星の来訪が、,"00:06:20,660","00:06:24,240",テレビ,田舎,"Past 2, 9/3",Comet
69,いよいよひと月後に迫っています。,"00:06:24,240","00:06:26,360",テレビ,田舎,"Past 2, 9/3",Comet
70,彗星は数日間に渡って・・・,"00:06:26,360","00:06:29,260",テレビ,田舎,"Past 2, 9/3",Comet
71,肉眼でも観測できる,"00:06:29,260","00:06:31,260",テレビ,田舎,"Past 2, 9/3",Comet
72,いい加減仲直りしないよ？,"00:06:31,260","00:06:33,310",よつは,田舎,"Past 2, 9/3",Family relationship
73,大人の問題！,"00:06:33,310","00:06:35,080",みつは,田舎,"Past 2, 9/3",Family relationship
74,世界中の研究機関は・・・,"00:06:35,080","00:06:36,860",テレビ,田舎,"Past 2, 9/3",
